codigo,nome,creditos,turma,oferecidas_veteranos,oferecidas_calouros,vagas_ampliadas,ocupadas_veteranos,ocupadas_calouros,horarios,locais,professores
MAT01375,MATEMÁTICA DISCRETA B,4,A,19,16,22,42,16,10:10; 10:10,Sala 103 - Campus: Vale                    ; Sala 103 - Campus: Vale,RICARDO MISTURINI
,,,B,4,11,10,17,10,10:30; 10:30,Sala 103 - Campus: Vale                    ; Sala 103 - Campus: Vale,MARIA PAULA GONCALVES FACHIN
INF01216,MODELAGEM E GERENCIAMENTO DE PROCESSOS DE NEGÓCIO,4,U,20,0,0,4,0,10:30; 10:30,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,LUCINÉIA HELOISA THOM
INF01121,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO,4,U,35,0,0,31,0,15:30; 15:30,SALA DE AULA 111 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 111 - PRÉDIO 43425 - Campus: Vale,LEANDRO KRUG WIVES
INF01113,ORGANIZAÇÃO DE COMPUTADORES B,4,A,30,0,0,25,0,10:10; 10:10,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,LUIGI CARRO
,,,B,30,0,0,30,0,10:30; 10:30,SALA DE AULA 114 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 114 - PRÉDIO 43425 - Campus: Vale,GABRIEL LUCA NAZAR
INF05010,OTIMIZAÇÃO COMBINATÓRIA,4,A,28,0,0,23,0,13:30; 13:30,SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale,MARCUS ROLF PETER RITT
,,,B,28,0,0,30,0,10:30; 10:30,SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale,Henrique Becker
MAT02219,PROBABILIDADE E ESTATÍSTICA,4,A1,15,0,0,14,0,10:10; 10:10,Sala 106 - Campus: Vale                    ; Sala 106 - Campus: Vale,DIEGO RAMOS CANTERLE
,,,B1,8,0,0,9,0,10:30; 10:30,Sala 106 - Campus: Vale                    ; Sala 106 - Campus: Vale,"MÁRCIA HELENA BARBIAN - Regente de 23/09/2024 a 18/01/2025</li><li class=""hor"">MARKUS CHAGAS STEIN"
,,,B2,5,0,3,8,0,10:30; 10:30,Sala 105 - Campus: Vale                    ; Sala 105 - Campus: Vale,CLEITON GUOLLO TAUFEMBACK
,,,C1,15,0,0,4,0,13:30; 13:30,"sala de aula 044 - Campus: Centro<li class=""hor"">Quinta 13:30-15:10 2</li>sala de aula 044 - Campus: Centro; <li class=""hor"">MÁRCIA HELENA BARBIAN - Regente de 23/09/2024 a 18/01/2025</li>",DIEGO RAMOS CANTERLE
,,,D1,10,0,0,8,0,15:30; 15:30,Sala 107 - Campus: Vale                    ; Sala 107 - Campus: Vale,"MÁRCIA HELENA BARBIAN - Regente de 23/09/2024 a 18/01/2025</li><li class=""hor"">MARCO ANTONIO GIACOMELLI"
